# z N(z)
0.0005 28.091
0.0015 252.590
0.0025 688.353
0.0035 1201.776
0.0045 1710.233
0.0055 2258.035
0.0065 2845.939
0.0075 3454.279
0.0085 4090.690
0.0095 4757.259
0.0105 5429.926
0.0115 6119.416
0.0125 6828.956
0.0135 7539.194
0.0145 8266.430
0.0155 8994.617
0.0165 9715.075
0.0175 10462.495
0.0185 11204.649
0.0195 11969.899
0.0205 12700.719
0.0215 13464.448
0.0225 14216.588
0.0235 14955.464
0.0245 0.000
0.0255 0.000
0.0265 0.000
0.0275 0.000
0.0285 0.000
0.0295 0.000
0.0305 0.000
0.0315 0.000
0.0325 0.000
0.0335 22326.488
0.0345 23094.133
0.0355 23751.774
0.0365 24501.625
0.0375 25130.063
0.0385 25846.720
0.0395 26563.651
0.0405 27156.400
0.0415 27829.751
0.0425 28496.166
0.0435 29160.756
0.0445 29795.756
0.0455 30425.053
0.0465 31049.419
0.0475 31646.276
0.0485 32349.228
0.0495 32925.317
0.0505 33515.433
0.0515 34063.999
0.0525 34582.664
0.0535 35225.790
0.0545 35761.151
0.0555 36378.258
0.0565 36846.418
0.0575 37328.458
0.0585 37897.139
0.0595 38366.606
0.0605 38909.915
0.0615 39345.197
0.0625 39858.496
0.0635 40428.337
0.0645 40772.987
0.0655 41291.602
0.0665 41636.970
0.0675 42092.157
0.0685 42586.763
0.0695 43073.262
0.0705 43306.874
0.0715 43767.609
0.0725 44227.284
0.0735 44636.284
0.0745 44799.588
0.0755 45232.457
0.0765 45623.313
0.0775 45787.487
0.0785 46114.263
0.0795 46445.988
0.0805 46792.536
0.0815 46902.624
0.0825 47197.413
0.0835 47527.311
0.0845 47810.897
0.0855 47836.136
0.0865 48102.299
0.0875 48339.953
0.0885 0.000
0.0895 0.000
0.0905 0.000
0.0915 0.000
0.0925 0.000
0.0935 0.000
0.0945 0.000
0.0955 0.000
0.0965 0.000
0.0975 0.000
0.0985 0.000
0.0995 0.000
0.1005 0.000
0.1015 0.000
0.1025 0.000
0.1035 0.000
0.1045 0.000
0.1055 0.000
0.1065 0.000
0.1075 0.000
0.1085 0.000
0.1095 0.000
0.1105 0.000
0.1115 0.000
0.1125 0.000
0.1135 0.000
0.1145 0.000
0.1155 0.000
0.1165 0.000
0.1175 0.000
0.1185 0.000
0.1195 0.000
0.1205 0.000
0.1215 0.000
0.1225 0.000
0.1235 0.000
0.1245 0.000
0.1255 0.000
0.1265 0.000
0.1275 49753.863
0.1285 49603.152
0.1295 49352.091
0.1305 49533.483
0.1315 49365.087
0.1325 49144.040
0.1335 48874.851
0.1345 49032.075
0.1355 48831.981
0.1365 48519.571
0.1375 0.000
0.1385 0.000
0.1395 0.000
0.1405 0.000
0.1415 0.000
0.1425 0.000
0.1435 0.000
0.1445 47098.434
0.1455 47148.305
0.1465 46786.450
0.1475 46539.940
0.1485 0.000
0.1495 0.000
0.1505 0.000
0.1515 0.000
0.1525 0.000
0.1535 0.000
0.1545 0.000
0.1555 0.000
0.1565 0.000
0.1575 0.000
0.1585 0.000
0.1595 0.000
0.1605 0.000
0.1615 0.000
0.1625 0.000
0.1635 0.000
0.1645 0.000
0.1655 0.000
0.1665 0.000
0.1675 0.000
0.1685 0.000
0.1695 0.000
0.1705 0.000
0.1715 0.000
0.1725 0.000
0.1735 0.000
0.1745 0.000
0.1755 0.000
0.1765 0.000
0.1775 0.000
0.1785 0.000
0.1795 0.000
0.1805 0.000
0.1815 0.000
0.1825 0.000
0.1835 0.000
0.1845 0.000
0.1855 0.000
0.1865 0.000
0.1875 0.000
0.1885 0.000
0.1895 0.000
0.1905 0.000
0.1915 0.000
0.1925 0.000
0.1935 0.000
0.1945 0.000
0.1955 0.000
0.1965 0.000
0.1975 0.000
0.1985 0.000
0.1995 0.000
0.2005 0.000
0.2015 0.000
0.2025 0.000
0.2035 0.000
0.2045 0.000
0.2055 0.000
0.2065 0.000
0.2075 0.000
0.2085 0.000
0.2095 0.000
0.2105 0.000
0.2115 0.000
0.2125 0.000
0.2135 0.000
0.2145 0.000
0.2155 0.000
0.2165 0.000
0.2175 0.000
0.2185 27868.303
0.2195 27257.186
0.2205 27268.216
0.2215 26672.142
0.2225 26636.729
0.2235 26127.537
0.2245 26056.435
0.2255 25545.237
0.2265 25451.712
0.2275 25448.485
0.2285 24840.155
0.2295 24809.888
0.2305 24300.289
0.2315 24239.340
0.2325 23726.887
0.2335 23627.432
0.2345 23624.319
0.2355 23037.051
0.2365 22991.001
0.2375 22511.301
0.2385 22401.320
0.2395 21923.914
0.2405 21814.787
0.2415 21791.868
0.2425 21285.721
0.2435 21214.389
0.2445 20727.315
0.2455 20615.482
0.2465 20606.125
0.2475 20077.278
0.2485 20030.053
0.2495 19547.343
0.2505 19442.742
0.2515 18958.031
0.2525 18936.070
0.2535 18849.633
0.2545 18387.683
0.2555 18291.353
0.2565 18259.437
0.2575 17807.987
0.2585 17712.149
0.2595 17245.880
0.2605 17168.044
0.2615 17137.401
0.2625 16680.118
0.2635 16582.286
0.2645 16123.265
0.2655 16098.776
0.2665 16030.132
0.2675 15572.507
0.2685 15508.248
0.2695 15474.594
0.2705 15035.715
0.2715 14942.637
0.2725 14496.857
0.2735 14498.761
0.2745 14406.464
0.2755 13981.852
0.2765 13930.008
0.2775 13878.708
0.2785 13460.106
0.2795 13391.878
0.2805 13371.876
0.2815 12954.589
0.2825 12875.568
0.2835 12843.536
0.2845 12451.317
0.2855 12369.050
0.2865 11959.882
0.2875 11962.917
0.2885 11890.593
0.2895 11485.374
0.2905 11475.897
0.2915 11400.574
0.2925 11016.647
0.2935 10990.051
0.2945 10937.153
0.2955 10557.911
0.2965 10526.549
0.2975 10475.535
0.2985 10109.848
0.2995 10064.401
0.3005 10028.789
0.3015 9667.627
0.3025 9625.921
0.3035 9590.964
0.3045 9240.377
0.3055 9210.239
0.3065 9162.471
0.3075 8819.788
0.3085 8796.450
0.3095 8748.999
0.3105 8410.791
0.3115 8394.898
0.3125 8350.083
0.3135 8327.270
0.3145 8012.857
0.3155 7954.736
0.3165 7930.217
0.3175 7623.680
0.3185 7569.101
0.3195 7548.571
0.3205 7251.197
0.3215 7202.280
0.3225 7191.855
0.3235 6889.080
0.3245 6850.998
0.3255 6828.810
0.3265 6541.638
0.3275 6510.322
0.3285 6487.662
0.3295 6475.099
0.3305 6197.617
0.3315 6152.437
0.3325 6133.720
0.3335 5868.486
0.3345 5828.836
0.3355 5818.528
0.3365 5553.066
0.3375 5523.939
0.3385 5499.196
0.3395 5497.020
0.3405 5237.998
0.3415 5207.853
0.3425 5190.625
0.3435 4950.293
0.3445 4915.485
0.3455 4908.685
0.3465 4896.808
0.3475 4646.352
0.3485 4629.799
0.3495 4618.883
0.3505 4395.507
0.3515 4362.533
0.3525 4354.665
0.3535 4340.944
0.3545 4111.189
0.3555 4098.445
0.3565 4090.903
0.3575 4082.640
0.3585 3851.421
0.3595 3846.575
0.3605 3833.735
0.3615 3622.126
0.3625 3612.947
0.3635 3603.539
0.3645 3596.265
0.3655 3388.194
0.3665 3382.434
0.3675 3373.343
0.3685 3363.306
0.3695 3169.550
0.3705 3158.073
0.3715 3151.775
0.3725 2965.347
0.3735 2954.592
0.3745 2953.105
0.3755 2947.228
0.3765 2762.386
0.3775 2757.957
0.3785 2752.965
0.3795 2742.199
0.3805 2575.977
0.3815 2566.022
0.3825 2561.256
0.3835 2548.810
0.3845 2394.815
0.3855 2389.345
0.3865 2383.679
0.3875 2370.201
0.3885 2222.703
0.3895 2221.477
0.3905 2215.655
0.3915 2198.815
0.3925 2063.025
0.3935 2061.411
0.3945 2051.401
0.3955 2041.032
0.3965 1908.594
0.3975 1903.706
0.3985 1896.168
0.3995 1891.729
0.4005 1764.918
0.4015 1760.914
0.4025 1752.180
0.4035 1748.043
0.4045 1630.351
0.4055 1626.761
0.4065 1618.803
0.4075 1614.977
0.4085 1503.383
0.4095 1500.261
0.4105 1492.996
0.4115 1489.467
0.4125 1384.264
0.4135 1381.274
0.4145 1374.547
0.4155 1371.302
0.4165 1367.553
0.4175 1269.535
0.4185 1263.233
0.4195 1260.256
0.4205 1257.054
0.4215 1164.712
0.4225 1160.173
0.4235 1157.827
0.4245 1153.325
0.4255 1066.946
0.4265 1064.966
0.4275 1060.357
0.4285 1056.851
0.4295 1056.562
0.4305 975.149
0.4315 969.309
0.4325 967.767
0.4335 967.675
0.4345 891.531
0.4355 885.087
0.4365 882.937
0.4375 882.771
0.4385 811.693
0.4395 806.984
0.4405 805.739
0.4415 803.762
0.4425 801.983
0.4435 734.116
0.4445 733.561
0.4455 730.525
0.4465 730.817
0.4475 728.443
0.4485 665.329
0.4495 664.268
0.4505 664.132
0.4515 662.412
0.4525 603.482
0.4535 601.035
0.4545 600.995
0.4555 599.524
0.4565 596.931
0.4575 545.153
0.4585 543.091
0.4595 543.998
0.4605 542.573
0.4615 539.319
0.4625 490.378
0.4635 490.383
0.4645 488.996
0.4655 486.996
0.4665 442.866
0.4675 440.926
0.4685 441.058
0.4695 440.308
0.4705 438.051
0.4715 396.549
0.4725 396.555
0.4735 395.393
0.4745 393.762
0.4755 392.348
0.4765 355.096
0.4775 355.711
0.4785 354.677
0.4795 352.585
0.4805 0.000
0.4815 0.000
0.4825 0.000
0.4835 0.000
0.4845 0.000
0.4855 0.000
0.4865 0.000
0.4875 0.000
0.4885 0.000
0.4895 0.000
0.4905 0.000
0.4915 0.000
0.4925 0.000
0.4935 0.000
0.4945 0.000
0.4955 0.000
0.4965 0.000
0.4975 0.000
0.4985 0.000
0.4995 0.000
0.5005 0.000
0.5015 0.000
0.5025 0.000
0.5035 0.000
0.5045 0.000
0.5055 0.000
0.5065 0.000
0.5075 0.000
0.5085 0.000
0.5095 0.000
0.5105 0.000
0.5115 0.000
0.5125 0.000
0.5135 0.000
0.5145 0.000
0.5155 0.000
0.5165 0.000
0.5175 0.000
0.5185 0.000
0.5195 0.000
0.5205 0.000
0.5215 0.000
0.5225 0.000
0.5235 0.000
0.5245 0.000
0.5255 0.000
0.5265 0.000
0.5275 0.000
0.5285 0.000
0.5295 0.000
0.5305 0.000
0.5315 0.000
0.5325 0.000
0.5335 0.000
0.5345 0.000
0.5355 0.000
0.5365 89.317
0.5375 89.007
0.5385 88.737
0.5395 77.800
0.5405 77.840
0.5415 77.591
0.5425 77.354
0.5435 77.087
0.5445 76.966
0.5455 67.416
0.5465 67.197
0.5475 67.052
0.5485 67.034
0.5495 66.652
0.5505 66.694
0.5515 58.014
0.5525 0.000
0.5535 0.000
0.5545 0.000
0.5555 0.000
0.5565 0.000
0.5575 0.000
0.5585 0.000
0.5595 0.000
0.5605 0.000
0.5615 0.000
0.5625 0.000
0.5635 0.000
0.5645 0.000
0.5655 0.000
0.5665 0.000
0.5675 0.000
0.5685 0.000
0.5695 0.000
0.5705 0.000
0.5715 0.000
0.5725 0.000
0.5735 0.000
0.5745 0.000
0.5755 0.000
0.5765 0.000
0.5775 0.000
0.5785 0.000
0.5795 0.000
0.5805 0.000
0.5815 0.000
0.5825 0.000
0.5835 0.000
0.5845 0.000
0.5855 0.000
0.5865 0.000
0.5875 0.000
0.5885 0.000
0.5895 0.000
0.5905 0.000
0.5915 0.000
0.5925 0.000
0.5935 0.000
0.5945 0.000
0.5955 0.000
0.5965 0.000
0.5975 0.000
0.5985 0.000
0.5995 0.000
0.6005 0.000
0.6015 0.000
0.6025 0.000
0.6035 0.000
0.6045 0.000
0.6055 0.000
0.6065 0.000
0.6075 0.000
0.6085 0.000
0.6095 0.000
0.6105 0.000
0.6115 0.000
0.6125 0.000
0.6135 0.000
0.6145 10.997
0.6155 10.935
0.6165 10.945
0.6175 10.967
0.6185 9.147
0.6195 9.132
0.6205 9.103
0.6215 9.092
0.6225 9.100
0.6235 9.106
0.6245 9.050
0.6255 7.562
0.6265 7.537
0.6275 7.528
0.6285 7.535
0.6295 7.500
0.6305 7.493
0.6315 7.486
0.6325 6.215
0.6335 6.207
0.6345 6.212
0.6355 6.183
0.6365 6.177
0.6375 6.171
0.6385 5.102
0.6395 5.095
0.6405 5.100
0.6415 5.076
0.6425 5.070
0.6435 5.066
0.6445 5.054
0.6455 4.165
0.6465 4.169
0.6475 4.172
0.6485 4.144
0.6495 4.141
0.6505 4.131
0.6515 4.099
0.6525 3.392
0.6535 3.399
0.6545 3.372
0.6555 3.370
0.6565 3.373
0.6575 3.335
0.6585 3.339
0.6595 2.753
0.6605 2.731
0.6615 2.734
0.6625 2.733
0.6635 2.726
0.6645 2.706
0.6655 2.709
0.6665 2.201
0.6675 2.205
0.6685 2.204
0.6695 2.198
0.6705 2.181
0.6715 2.183
0.6725 2.175
0.6735 1.769
0.6745 1.768
0.6755 1.764
0.6765 1.749
0.6775 1.751
0.6785 1.754
0.6795 1.743
0.6805 1.746
0.6815 1.414
0.6825 1.410
0.6835 1.399
0.6845 1.400
0.6855 1.391
0.6865 1.394
0.6875 1.394
0.6885 1.120
0.6895 1.111
0.6905 1.112
0.6915 1.114
0.6925 1.107
0.6935 1.107
0.6945 1.109
0.6955 0.887
0.6965 0.880
0.6975 0.880
0.6985 0.875
0.6995 0.876
0.7005 0.876
0.7015 0.875
0.7025 0.869
0.7035 0.692
0.7045 0.693
0.7055 0.689
0.7065 0.690
0.7075 0.690
0.7085 0.689
0.7095 0.684
0.7105 0.685
0.7115 0.540
0.7125 0.539
0.7135 0.539
0.7145 0.540
0.7155 0.536
0.7165 0.536
0.7175 0.536
0.7185 0.419
0.7195 0.420
0.7205 0.420
0.7215 0.419
0.7225 0.417
0.7235 0.417
0.7245 0.418
0.7255 0.416
0.7265 0.325
0.7275 0.325
0.7285 0.325
0.7295 0.323
0.7305 0.323
0.7315 0.324
0.7325 0.322
0.7335 0.320
0.7345 0.251
0.7355 0.250
0.7365 0.248
0.7375 0.249
0.7385 0.249
0.7395 0.248
0.7405 0.246
0.7415 0.246
0.7425 0.191
0.7435 0.190
0.7445 0.190
0.7455 0.191
0.7465 0.190
0.7475 0.188
0.7485 0.188
0.7495 0.188
0.7505 0.145
0.7515 0.145
0.7525 0.145
0.7535 0.144
0.7545 0.143
0.7555 0.143
0.7565 0.143
0.7575 0.142
0.7585 0.110
0.7595 0.110
0.7605 0.109
0.7615 0.109
0.7625 0.108
0.7635 0.108
0.7645 0.108
0.7655 0.108
0.7665 0.108
0.7675 0.082
0.7685 0.082
0.7695 0.081
0.7705 0.081
0.7715 0.081
0.7725 0.081
0.7735 0.081
0.7745 0.081
0.7755 0.061
0.7765 0.061
0.7775 0.061
0.7785 0.060
0.7795 0.061
0.7805 0.061
0.7815 0.060
0.7825 0.061
0.7835 0.060
0.7845 0.045
0.7855 0.045
0.7865 0.045
0.7875 0.045
0.7885 0.045
0.7895 0.045
0.7905 0.045
0.7915 0.045
0.7925 0.033
0.7935 0.033
0.7945 0.033
0.7955 0.033
0.7965 0.033
0.7975 0.033
0.7985 0.033
0.7995 0.033
0.8005 0.033
0.8015 0.024
0.8025 0.024
0.8035 0.024
0.8045 0.024
0.8055 0.024
0.8065 0.024
0.8075 0.024
0.8085 0.024
0.8095 0.024
0.8105 0.018
0.8115 0.018
0.8125 0.018
0.8135 0.018
0.8145 0.018
0.8155 0.018
0.8165 0.017
0.8175 0.017
0.8185 0.018
0.8195 0.013
0.8205 0.013
0.8215 0.013
0.8225 0.013
0.8235 0.013
0.8245 0.013
0.8255 0.013
0.8265 0.012
0.8275 0.012
0.8285 0.009
0.8295 0.009
0.8305 0.009
0.8315 0.009
0.8325 0.009
0.8335 0.009
0.8345 0.009
0.8355 0.009
0.8365 0.009
0.8375 0.006
0.8385 0.006
0.8395 0.006
0.8405 0.006
0.8415 0.006
0.8425 0.006
0.8435 0.006
0.8445 0.006
0.8455 0.006
0.8465 0.006
0.8475 0.005
0.8485 0.005
0.8495 0.005
0.8505 0.004
0.8515 0.004
0.8525 0.004
0.8535 0.004
0.8545 0.004
0.8555 0.004
0.8565 0.003
0.8575 0.003
0.8585 0.003
0.8595 0.003
0.8605 0.003
0.8615 0.003
0.8625 0.003
0.8635 0.003
0.8645 0.003
0.8655 0.003
0.8665 0.002
0.8675 0.002
0.8685 0.002
0.8695 0.002
0.8705 0.002
0.8715 0.002
0.8725 0.002
0.8735 0.002
0.8745 0.002
0.8755 0.002
0.8765 0.002
0.8775 0.002
0.8785 0.002
0.8795 0.002
0.8805 0.002
0.8815 0.002
0.8825 0.001
0.8835 0.001
0.8845 0.001
0.8855 0.001
0.8865 0.001
0.8875 0.001
0.8885 0.001
0.8895 0.001
0.8905 0.001
0.8915 0.001
0.8925 0.001
0.8935 0.001
0.8945 0.001
0.8955 0.001
0.8965 0.001
0.8975 0.001
0.8985 0.001
0.8995 0.001
0.9005 0.001
0.9015 0.001
0.9025 0.001
0.9035 0.001
0.9045 0.001
0.9055 0.000
0.9065 0.000
0.9075 0.000
0.9085 0.000
0.9095 0.000
0.9105 0.000
0.9115 0.000
0.9125 0.000
0.9135 0.000
0.9145 0.000
0.9155 0.000
0.9165 0.000
0.9175 0.000
0.9185 0.000
0.9195 0.000
0.9205 0.000
0.9215 0.000
0.9225 0.000
0.9235 0.000
0.9245 0.000
0.9255 0.000
0.9265 0.000
0.9275 0.000
0.9285 0.000
0.9295 0.000
0.9305 0.000
0.9315 0.000
0.9325 0.000
0.9335 0.000
0.9345 0.000
0.9355 0.000
0.9365 0.000
0.9375 0.000
0.9385 0.000
0.9395 0.000
0.9405 0.000
0.9415 0.000
0.9425 0.000
0.9435 0.000
0.9445 0.000
0.9455 0.000
0.9465 0.000
0.9475 0.000
0.9485 0.000
0.9495 0.000
0.9505 0.000
0.9515 0.000
0.9525 0.000
0.9535 0.000
0.9545 0.000
0.9555 0.000
0.9565 0.000
0.9575 0.000
0.9585 0.000
0.9595 0.000
0.9605 0.000
0.9615 0.000
0.9625 0.000
0.9635 0.000
0.9645 0.000
0.9655 0.000
0.9665 0.000
0.9675 0.000
0.9685 0.000
0.9695 0.000
0.9705 0.000
0.9715 0.000
0.9725 0.000
0.9735 0.000
0.9745 0.000
0.9755 0.000
0.9765 0.000
0.9775 0.000
0.9785 0.000
0.9795 0.000
0.9805 0.000
0.9815 0.000
0.9825 0.000
0.9835 0.000
0.9845 0.000
0.9855 0.000
0.9865 0.000
0.9875 0.000
0.9885 0.000
0.9895 0.000
0.9905 0.000
0.9915 0.000
0.9925 0.000
0.9935 0.000
0.9945 0.000
0.9955 0.000
0.9965 0.000
0.9975 0.000
0.9985 0.000
0.9995 0.000
